Products Collection ID,Product ID,Variants Collection ID,Variant ID,Product Handle,Product Name,Product Type,Product Description,Product Categories,Main Variant Image,More Variant Images,Variant Price,Variant Compare-at Price,Product Tax Class,Variant Sku,Variant Inventory,Requires Shipping,Variant Weight,Variant Width,Variant Height,Variant Length,Variant Download Name,Variant Download URL,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Created On,Updated On,Published On
6820c4f8d9b8934078f1ab06,6820c4f8d9b8934078f1ab93,6820c4f8d9b8934078f1ab07,6820c4f8d9b8934078f1aba4,drink-fig-lime,Colored Baseball Cap,Advanced,Lorem Ipsum is simply dummy text of the printing and typesetting industry.,Office & Stationery,https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/68339864ba80cc812fb1d349_Render_Mockup_1920_1920_2025-05-26%20(1).jpg,,$4.00,,standard-taxable,,,true,,,,,,,,,,,,,Thu Apr 02 2020 06:10:32 GMT+0000 (Coordinated Universal Time),Sun May 25 2025 22:23:44 GMT+0000 (Coordinated Universal Time),Sun May 25 2025 22:23:44 GMT+0000 (Coordinated Universal Time)
6820c4f8d9b8934078f1ab06,6820c4f8d9b8934078f1ab9d,6820c4f8d9b8934078f1ab07,6839c936158135b5d2084d57,drink-liquor,Picture Frame,Advanced,Lorem Ipsum is simply dummy text of the printing and typesetting industry.,Office & Stationery,https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6833984582b2956a914e0643_Render_Mockup.jpg,,$7.00,,standard-taxable,,,true,,,,,,,Size,Large,,,,,Thu Apr 02 2020 06:10:10 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:30 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:25:37 GMT+0000 (Coordinated Universal Time)
6820c4f8d9b8934078f1ab06,6820c4f8d9b8934078f1ab9d,6820c4f8d9b8934078f1ab07,6839c932093294022684eddb,drink-liquor,Picture Frame,Advanced,Lorem Ipsum is simply dummy text of the printing and typesetting industry.,Office & Stationery,https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6833984582b2956a914e0643_Render_Mockup.jpg,,$7.00,,standard-taxable,,,true,,,,,,,Size,Medium,,,,,Thu Apr 02 2020 06:10:10 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:30 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:25:37 GMT+0000 (Coordinated Universal Time)
6820c4f8d9b8934078f1ab06,6820c4f8d9b8934078f1ab9d,6820c4f8d9b8934078f1ab07,6820c4f8d9b8934078f1aba9,drink-liquor,Picture Frame,Advanced,Lorem Ipsum is simply dummy text of the printing and typesetting industry.,Office & Stationery,https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6833984582b2956a914e0643_Render_Mockup.jpg,,$7.00,,standard-taxable,,,true,,,,,,,Size,Small,,,,,Thu Apr 02 2020 06:10:10 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:30 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:25:37 GMT+0000 (Coordinated Universal Time)
6820c4f8d9b8934078f1ab06,6820c4f8d9b8934078f1ab9c,6820c4f8d9b8934078f1ab07,6839ca4b9d1ec4b92c8ec873,drink-lime,Colored Sweatshirt,Advanced,Lorem Ipsum is simply dummy text of the printing and typesetting industry.,Office & Stationery,https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6833992acf0a6a7db474a71a_Render_Mockup_1920_1920_2025-05-26.jpg,,$4.00,,standard-taxable,,,true,,,,,,,Size,XL,Main Color,Blue,Combination,Purple,Thu Apr 02 2020 06:09:43 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:03 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:03 GMT+0000 (Coordinated Universal Time)
6820c4f8d9b8934078f1ab06,6820c4f8d9b8934078f1ab9c,6820c4f8d9b8934078f1ab07,6839ca4a231ab5c86fc70e31,drink-lime,Colored Sweatshirt,Advanced,Lorem Ipsum is simply dummy text of the printing and typesetting industry.,Office & Stationery,https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6833992acf0a6a7db474a71a_Render_Mockup_1920_1920_2025-05-26.jpg,,$4.00,,standard-taxable,,,true,,,,,,,Size,M,Main Color,Black,Combination,Purple,Thu Apr 02 2020 06:09:43 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:03 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:03 GMT+0000 (Coordinated Universal Time)
6820c4f8d9b8934078f1ab06,6820c4f8d9b8934078f1ab9c,6820c4f8d9b8934078f1ab07,6839ca4a231ab5c86fc70e2b,drink-lime,Colored Sweatshirt,Advanced,Lorem Ipsum is simply dummy text of the printing and typesetting industry.,Office & Stationery,https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6833992acf0a6a7db474a71a_Render_Mockup_1920_1920_2025-05-26.jpg,,$4.00,,standard-taxable,,,true,,,,,,,Size,M,Main Color,Red,Combination,Purple,Thu Apr 02 2020 06:09:43 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:03 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:03 GMT+0000 (Coordinated Universal Time)
6820c4f8d9b8934078f1ab06,6820c4f8d9b8934078f1ab9c,6820c4f8d9b8934078f1ab07,6839ca4a1bbb5cc670e1e129,drink-lime,Colored Sweatshirt,Advanced,Lorem Ipsum is simply dummy text of the printing and typesetting industry.,Office & Stationery,https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6833992acf0a6a7db474a71a_Render_Mockup_1920_1920_2025-05-26.jpg,,$4.00,,standard-taxable,,,true,,,,,,,Size,L,Main Color,Blue,Combination,Purple,Thu Apr 02 2020 06:09:43 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:03 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:03 GMT+0000 (Coordinated Universal Time)
6820c4f8d9b8934078f1ab06,6820c4f8d9b8934078f1ab9c,6820c4f8d9b8934078f1ab07,6839ca4ad6bbd2863d9c12e0,drink-lime,Colored Sweatshirt,Advanced,Lorem Ipsum is simply dummy text of the printing and typesetting industry.,Office & Stationery,https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6833992acf0a6a7db474a71a_Render_Mockup_1920_1920_2025-05-26.jpg,,$4.00,,standard-taxable,,,true,,,,,,,Size,M,Main Color,Blue,Combination,Purple,Thu Apr 02 2020 06:09:43 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:03 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:03 GMT+0000 (Coordinated Universal Time)
6820c4f8d9b8934078f1ab06,6820c4f8d9b8934078f1ab9c,6820c4f8d9b8934078f1ab07,6839ca4a1cbd10d3cd98c4b5,drink-lime,Colored Sweatshirt,Advanced,Lorem Ipsum is simply dummy text of the printing and typesetting industry.,Office & Stationery,https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6833992acf0a6a7db474a71a_Render_Mockup_1920_1920_2025-05-26.jpg,,$4.00,,standard-taxable,,,true,,,,,,,Size,S,Main Color,Blue,Combination,Purple,Thu Apr 02 2020 06:09:43 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:03 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 15:10:03 GMT+0000 (Coordinated Universal Time)
