Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,art style
Animation Studios,trending-art-8,6825f2cd180be25a62e459e3,6820c4f8d9b8934078f1aafb,6825f398adb08f9e4ca7a071,false,false,Thu May 15 2025 14:00:56 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6825f77f4a07549043b6a655_6fa87592-5423-4132-8dc2-3ee9b3fe923d.png
Animation Studios 2,trending-art-2,6825f2cd180be25a62e459e3,6820c4f8d9b8934078f1aafb,6825f398adb08f9e4ca7a065,false,false,Thu May 15 2025 14:00:56 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6825f88a94292e47fd9c40fe_c91ed460-da0d-42d0-8b8f-ce109dfab335.png
Anime,trending-art-9,6825f2cd180be25a62e459e3,6820c4f8d9b8934078f1aafb,6825f398adb08f9e4ca7a073,false,false,Thu May 15 2025 14:00:56 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6825f772b65c3871fd7fe5d4_4ad293b4-5906-47a9-8e88-62e798942ecc.png
Block,trending-art-7,6825f2cd180be25a62e459e3,6820c4f8d9b8934078f1aafb,6825f398adb08f9e4ca7a06f,false,false,Thu May 15 2025 14:00:56 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6825f78a5cef0eafc1f8ca21_7e661c0f-3c4e-4237-9625-3f8231b9844e.png
Cartoon,trending-art-10,6825f2cd180be25a62e459e3,6820c4f8d9b8934078f1aafb,6825f398adb08f9e4ca7a075,false,false,Thu May 15 2025 14:00:56 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6825f750ce79a456a3768b9e_0f5e7ad9-2cc9-44bd-b37c-f6d98b200650.png
Cartoon 2,trending-art-5,6825f2cd180be25a62e459e3,6820c4f8d9b8934078f1aafb,6825f398adb08f9e4ca7a06b,false,false,Thu May 15 2025 14:00:56 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6825f79ecc818eb78a7a659e_62fd71c5-88fd-4e06-8380-aa14de7d9169.png
Meme 1,trending-art-6,6825f2cd180be25a62e459e3,6820c4f8d9b8934078f1aafb,6825f398adb08f9e4ca7a06d,false,false,Thu May 15 2025 14:00:56 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/682601ee8e06b6e69f19525c_Two-Buttons.jpg
Meme 2,trending-art-4,6825f2cd180be25a62e459e3,6820c4f8d9b8934078f1aafb,6825f398adb08f9e4ca7a069,false,false,Thu May 15 2025 14:00:56 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6825f872c1d99f2d46741eec_download%20(4).jpeg
Meme 3,trending-art-3,6825f2cd180be25a62e459e3,6820c4f8d9b8934078f1aafb,6825f398adb08f9e4ca7a067,false,false,Thu May 15 2025 14:00:56 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6825f87c27ffe1bd75978b27_download.jpeg
Meme 4,trending-art-1,6825f2cd180be25a62e459e3,6820c4f8d9b8934078f1aafb,6825f398adb08f9e4ca7a062,false,false,Thu May 15 2025 14:00:56 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:43:47 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6820c4f8d9b8934078f1ab08/6825f8a509f2beec122162fc_download%20(2).jpeg
